车牌号：鲁CF2927;发动机号：71041633;VIN码：GX030049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,发生时间,存储时间,转速(转/分),GPS车速(公里/时),GPS方向,GPS海拔,GPS经度,GPS纬度,GPS里程(公里),PTO开关,车辆加速限值状态,怠速油耗,发动机控制设备源地址,发动机扭矩模式,发动机油温,发动机制动控制设备,风扇驱动状态,负载百分比,环境温度,环境压力,机油压力,进气歧管温度,进气歧管压力,空调开关,空调压力风扇开关,冷却剂温度,离合器状态,里程(km),脉冲车速(km/h),扭矩,平均油耗,请求风扇转速,刹车状态 ,实际制动器扭矩百分比,瞬时油耗,巡航控制状态,巡航使用油耗,油耗,油门位置,制动器扭矩模式,驻车制动,总油耗
11,2017/3/9 14:09,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
12,2017/3/9 14:09,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
13,2017/3/9 14:09,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
14,2017/3/9 14:09,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.50L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.28(℃),100.0（kPa）,,,0( kPa),0,压力正常,46.0（℃）,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,0.00L,,0.00(%),0, 驻车制动有效,
15,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.28(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.0（℃）,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,,0.00(%),0, 驻车制动有效,17103.5L
16,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.27(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
17,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.27(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
18,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.26(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
19,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.26(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.2（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
20,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.25(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.2（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
21,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.25(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
22,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.25(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
23,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.24(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
24,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.24(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
25,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.23(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
26,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.23(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
27,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.22(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
28,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.22(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
29,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.22(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
30,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.21(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
31,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.21(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
32,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.2(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
33,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.2(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
34,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.2(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.7（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
35,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.19(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.7（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
36,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.19(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.8（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
37,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.18(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.8（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
38,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.18(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.8（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
39,2017/3/9 14:09,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.18(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.9（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
40,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.17(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.9（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
41,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.17(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,46.9（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
42,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.16(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,47.0（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
43,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.16(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,47.0（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
44,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.50L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.15(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,47.0（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.00L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.50L
45,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.15(℃),100.0（kPa）,0.0（kPa）,28.0（℃）,0( kPa),0,压力正常,47.0（℃）,0,112582,0,0（%）,6( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125( km/L),0.00(%),0, 驻车制动有效,17103.5L
46,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.14(℃),100.0（kPa）,0.0（kPa）,27.9（℃）,0( kPa),0,压力正常,47.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
47,2017/3/9 14:08,2017/3/9 14:09,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.13(℃),100.0（kPa）,0.0（kPa）,27.9（℃）,0( kPa),0,压力正常,47.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
48,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.12(℃),100.0（kPa）,0.0（kPa）,27.9（℃）,0( kPa),0,压力正常,47.1（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
49,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.12(℃),100.0（kPa）,0.0（kPa）,27.8（℃）,0( kPa),0,压力正常,47.2（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
50,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.11(℃),100.0（kPa）,0.0（kPa）,27.8（℃）,0( kPa),0,压力正常,47.2（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
51,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.1(℃),100.0（kPa）,0.0（kPa）,27.8（℃）,0( kPa),0,压力正常,47.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
52,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.09(℃),100.0（kPa）,0.0（kPa）,27.7（℃）,0( kPa),0,压力正常,47.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
53,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.09(℃),100.0（kPa）,0.0（kPa）,27.7（℃）,0( kPa),0,压力正常,47.3（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
54,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.08(℃),100.0（kPa）,0.0（kPa）,27.7（℃）,0( kPa),0,压力正常,47.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
55,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.07(℃),100.0（kPa）,0.0（kPa）,27.6（℃）,0( kPa),0,压力正常,47.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
56,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.07(℃),100.0（kPa）,0.0（kPa）,27.6（℃）,0( kPa),0,压力正常,47.4（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
57,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.06(℃),100.0（kPa）,0.0（kPa）,27.6（℃）,0( kPa),0,压力正常,47.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
58,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.05(℃),100.0（kPa）,0.0（kPa）,27.5（℃）,0( kPa),0,压力正常,47.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
59,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.04(℃),100.0（kPa）,0.0（kPa）,27.5（℃）,0( kPa),0,压力正常,47.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
60,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.04(℃),100.0（kPa）,0.0（kPa）,27.5（℃）,0( kPa),0,压力正常,47.5（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
61,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.03(℃),100.0（kPa）,0.0（kPa）,27.4（℃）,0( kPa),0,压力正常,47.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
62,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.02(℃),100.0（kPa）,0.0（kPa）,27.4（℃）,0( kPa),0,压力正常,47.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
63,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.01(℃),100.0（kPa）,0.0（kPa）,27.4（℃）,0( kPa),0,压力正常,47.6（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
64,2017/3/9 14:08,2017/3/9 14:08,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,109.5L,0,其他,42.0（℃）,15,风扇关闭,0（%）,14.01(℃),100.0（kPa）,0.0（kPa）,27.3（℃）,0( kPa),0,压力正常,47.7（℃）,0,112582,0,0（%）,6.0( km/L),0.00(%),0,0(%),0（L/h）,关闭/未激活,0.0L,125.0( km/L),0.00(%),0, 驻车制动有效,17103.5L
